storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
057,EP ALTA,057 EP ALTA,69.9762,23.3243,Finnmark,true,ALTA,Nord-Norge,ALTA,9515
347,EP VATNE,347 EP VATNE,62.54451,6.59145,Møre og Romsdal,true,HARAM,Vestlandet,VATNE,6265
577,EP KLEPP,577 EP KLEPP,58.77801,5.62843,Rogaland,true,KLEPP,Vestlandet,KLEPPE,4352
349,EP RISSA,349 EP RISSA,63.58407,9.95663,Trøndelag,true,INDRE FOSEN,Trøndelag,RISSA,7100
360,EP AVERØY,360 EP AVERØY,63.05172,7.63204,Møre og Romsdal,true,AVERØY,Vestlandet,AVERØY,6530
058,EP KARMØY,058 EP KARMØY,59.29148,5.28929,Rogaland,true,KARMØY,Vestlandet,KOPERVIK,4250
603,EP VOSS,603 EP VOSS,60.6279,6.42603,Vestland,true,VOSS,Vestlandet,VOSS,5705
185,EP LARVIK - utgått,185 EP LARVIK - utgått,"","",Vestfold,true,LARVIK,Østlandet,LARVIK,3256
606,EP KONGSBERG SØLVPARKEN,606 EP KONGSBERG SØLVPARKEN,59.669,9.65425,Buskerud,true,KONGSBERG,Østlandet,KONGSBERG,3602
343,EP MOA - utgått,343 EP MOA - utgått,62.46675,6.34698,Møre og Romsdal,true,ÅLESUND,Vestlandet,ÅLESUND,6018
489,EP ORKANGER,489 EP ORKANGER,63.30598,9.8386,Trøndelag,true,ORKLAND,Trøndelag,ORKANGER,7300
192,EP FLORØ,192 EP FLORØ,61.60052,5.0474,Vestland,true,KINN,Vestlandet,FLORØ,6900
437,EP GRIMSTAD,437 EP GRIMSTAD,58.34273,8.55371,Agder,true,GRIMSTAD,Sørlandet,GRIMSTAD,4886
592,EP BARDUFOSS,592 EP BARDUFOSS,69.09414,18.59034,Troms,true,MÅLSELV,Nord-Norge,BARDUFOSS,9325
609,EP MELHUS,609 EP MELHUS,63.28613,10.28416,Trøndelag,true,MELHUS,Trøndelag,MELHUS,7224
573,EP ÅSEN,573 EP ÅSEN,58.94323,5.72884,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4017
344,EP STOA,344 EP STOA,58.46502,8.71261,Agder,true,ARENDAL,Sørlandet,ARENDAL,4848
614,EP KILEN TØNSBERG,614 EP KILEN TØNSBERG,59.27379,10.42929,Vestfold,true,TØNSBERG,Østlandet,TØNSBERG,3117
199,EP DRØBAK,199 EP DRØBAK,59.67376,10.65719,Akershus,true,FROGN,Østlandet,DRØBAK,1448
200,EP SKARNES - utgått,200 EP SKARNES - utgått,"","",Innlandet,true,SØR-ODAL,Østlandet,SKARNES,2100
506,EP BJUGN,506 EP BJUGN,63.76612,9.80779,Trøndelag,true,ØRLAND,Trøndelag,BJUGN,7160
